Commodity_Desc,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Total wheat grain","Exports, Qty","Saudi Arabia","1,000 metric tons ","1989/90","MY Jun-May",129.92335
"Total wheat grain","Exports, Qty","Bangladesh","1,000 metric tons ","1989/90","MY Jun-May",535.613546
"Total wheat grain","Exports, Qty","Greece","1,000 metric tons ","1989/90","MY Jun-May",0.689456
"Total wheat grain","Exports, Qty","United Kingdom","1,000 metric tons ","1989/90","MY Jun-May",30.036323
"Total wheat grain","Exports, Qty","Jordan","1,000 metric tons ","1989/90","MY Jun-May",502.863661
"Total wheat grain","Exports, Qty","France","1,000 metric tons ","1989/90","MY Jun-May",1.534587
"Total wheat grain","Exports, Qty","Israel","1,000 metric tons ","1989/90","MY Jun-May",564.207895
"Total wheat grain","Exports, Qty","Netherlands Antilles","1,000 metric tons ","1989/90","MY Jun-May",8.698983
"Total wheat grain","Exports, Qty","Bolivia","1,000 metric tons ","1989/90","MY Jun-May",103.846978
"Total wheat grain","Exports, Qty","Sweden","1,000 metric tons ","1989/90","MY Jun-May",0.027428
"Total wheat grain","Exports, Qty","Norway","1,000 metric tons ","1989/90","MY Jun-May",25.368389
"Total wheat grain","Exports, Qty","Finland","1,000 metric tons ","1989/90","MY Jun-May",16.400888
"Total wheat grain","Exports, Qty","Denmark","1,000 metric tons ","1989/90","MY Jun-May",0.05209
"Total wheat grain","Exports, Qty","Netherlands","1,000 metric tons ","1989/90","MY Jun-May",1.398877
"Total wheat grain","Exports, Qty","Germany, Fed. Republic; United, Begins 1","1,000 metric tons ","1989/90","MY Jun-May",0.141883
"Total wheat grain","Exports, Qty","Switzerland","1,000 metric tons ","1989/90","MY Jun-May",1.251721
"Total wheat grain","Exports, Qty","Poland","1,000 metric tons ","1989/90","MY Jun-May",32.493156
"Total wheat grain","Exports, Qty","Former USSR, Begins 1/1989 & Ends 1/1993","1,000 metric tons ","1989/90","MY Jun-May",4289.66534
"Total wheat grain","Exports, Qty","Turkey","1,000 metric tons ","1989/90","MY Jun-May",645.423057
"Total wheat grain","Exports, Qty","Cyprus","1,000 metric tons ","1989/90","MY Jun-May",28.273524
"Total wheat grain","Exports, Qty","Syria","1,000 metric tons ","1989/90","MY Jun-May",26.25
"Total wheat grain","Exports, Qty","Iraq","1,000 metric tons ","1989/90","MY Jun-May",1058.82022
"Total wheat grain","Exports, Qty","India","1,000 metric tons ","1989/90","MY Jun-May",15.51593
"Total wheat grain","Exports, Qty","Pakistan","1,000 metric tons ","1989/90","MY Jun-May",1252.880114
"Total wheat grain","Exports, Qty","New Zealand, No Islands (=Old Code 6140)","1,000 metric tons ","1989/90","MY Jun-May",9.655422
"Total wheat grain","Exports, Qty","New Caledonia","1,000 metric tons ","1989/90","MY Jun-May",0.109855
"Total wheat grain","Exports, Qty","French Polynesia","1,000 metric tons ","1989/90","MY Jun-May",0.573696
"Total wheat grain","Exports, Qty","Tunisia","1,000 metric tons ","1989/90","MY Jun-May",349.618851
"Total wheat grain","Exports, Qty","Sudan","1,000 metric tons ","1989/90","MY Jun-May",128.647322
"Total wheat grain","Exports, Qty","Senegal","1,000 metric tons ","1989/90","MY Jun-May",5.108
"Total wheat grain","Exports, Qty","Sierra Leone","1,000 metric tons ","1989/90","MY Jun-May",3.712317
"Total wheat grain","Exports, Qty","Ivory Coast","1,000 metric tons ","1989/90","MY Jun-May",10.079898
"Total wheat grain","Exports, Qty","Ghana","1,000 metric tons ","1989/90","MY Jun-May",35.377697
"Total wheat grain","Exports, Qty","Niger","1,000 metric tons ","1989/90","MY Jun-May",6.19673
"Total wheat grain","Exports, Qty","Togo","1,000 metric tons ","1989/90","MY Jun-May",43.642796
"Total wheat grain","Exports, Qty","Gabon","1,000 metric tons ","1989/90","MY Jun-May",5.92733
"Total wheat grain","Exports, Qty","Burkina Faso","1,000 metric tons ","1989/90","MY Jun-May",2.761617
"Total wheat grain","Exports, Qty","Benin","1,000 metric tons ","1989/90","MY Jun-May",27.892587
"Total wheat grain","Exports, Qty","Congo (Brazzaville)","1,000 metric tons ","1989/90","MY Jun-May",4.99999
"Total wheat grain","Exports, Qty","Liberia","1,000 metric tons ","1989/90","MY Jun-May",1.750011
"Total wheat grain","Exports, Qty","Congo (Kinshasa)","1,000 metric tons ","1989/90","MY Jun-May",125.025419
"Total wheat grain","Exports, Qty","Ethiopia, United Ends 6/1993 & New Begin","1,000 metric tons ","1989/90","MY Jun-May",144.658734
"Total wheat grain","Exports, Qty","Unidentified Country","1,000 metric tons ","1989/90","MY Jun-May",692.250688
"Total wheat grain","Exports, Qty","World","1,000 metric tons ","1989/90","MY Jun-May",32072.533421
"Total wheat grain","Exports, Qty","Mexico","1,000 metric tons ","1990/91","MY Jun-May",355.582142
"Total wheat grain","Exports, Qty","Philippines","1,000 metric tons ","1990/91","MY Jun-May",1302.609618
"Total wheat grain","Exports, Qty","South Korea","1,000 metric tons ","1990/91","MY Jun-May",1862.741393
"Total wheat grain","Exports, Qty","Japan","1,000 metric tons ","1990/91","MY Jun-May",3036.593344
"Total wheat grain","Exports, Qty","Taiwan","1,000 metric tons ","1990/91","MY Jun-May",714.702248
"Total wheat grain","Exports, Qty","Thailand","1,000 metric tons ","1990/91","MY Jun-May",232.432337
"Total wheat grain","Exports, Qty","Indonesia","1,000 metric tons ","1990/91","MY Jun-May",191.994707
"Total wheat grain","Exports, Qty","Colombia","1,000 metric tons ","1990/91","MY Jun-May",496.054851
"Total wheat grain","Exports, Qty","Ecuador","1,000 metric tons ","1990/91","MY Jun-May",422.879949
"Total wheat grain","Exports, Qty","Dominican Republic","1,000 metric tons ","1990/91","MY Jun-May",178.1494
"Total wheat grain","Exports, Qty","Italy","1,000 metric tons ","1990/91","MY Jun-May",364.076065
"Total wheat grain","Exports, Qty","Venezuela","1,000 metric tons ","1990/91","MY Jun-May",496.823899
"Total wheat grain","Exports, Qty","Guatemala","1,000 metric tons ","1990/91","MY Jun-May",195.924905
"Total wheat grain","Exports, Qty","Chile","1,000 metric tons ","1990/91","MY Jun-May",86.116955
"Total wheat grain","Exports, Qty","Honduras","1,000 metric tons ","1990/91","MY Jun-May",116.298953
"Total wheat grain","Exports, Qty","Nicaragua","1,000 metric tons ","1990/91","MY Jun-May",66.56491
"Total wheat grain","Exports, Qty","Yemen (Sana), Ends 9/1990 & United Begin","1,000 metric tons ","1990/91","MY Jun-May",241.783664
"Total wheat grain","Exports, Qty","Peru","1,000 metric tons ","1990/91","MY Jun-May",218.768173
"Total wheat grain","Exports, Qty","Haiti","1,000 metric tons ","1990/91","MY Jun-May",67.557513
"Total wheat grain","Exports, Qty","Jamaica","1,000 metric tons ","1990/91","MY Jun-May",113.074521
"Total wheat grain","Exports, Qty","China","1,000 metric tons ","1990/91","MY Jun-May",3601.315888
"Total wheat grain","Exports, Qty","El Salvador","1,000 metric tons ","1990/91","MY Jun-May",165.296751
"Total wheat grain","Exports, Qty","Panama","1,000 metric tons ","1990/91","MY Jun-May",76.030071
"Total wheat grain","Exports, Qty","Malaysia","1,000 metric tons ","1990/91","MY Jun-May",57.61239
"Total wheat grain","Exports, Qty","Egypt","1,000 metric tons ","1990/91","MY Jun-May",2429.590344
"Total wheat grain","Exports, Qty","Trinidad And Tobago","1,000 metric tons ","1990/91","MY Jun-May",111.475429
"Total wheat grain","Exports, Qty","Algeria","1,000 metric tons ","1990/91","MY Jun-May",1294.447268
"Total wheat grain","Exports, Qty","Costa Rica","1,000 metric tons ","1990/91","MY Jun-May",138.013147
"Total wheat grain","Exports, Qty","Canada","1,000 metric tons ","1990/91","MY Jun-May",0.248903
