Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","May",2733.3704201223
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","May",71649.4423534764
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","May",31.6869921464342
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","May",13.5048463847617
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","May",74970.0075925744
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","MY Jun-May",1233268.90171598
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","MY Jun-May",96.0355401523375
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","MY Jun-May",1355.53609668971
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","MY Jun-May",1178463.5462612
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","MY Jun-May",45044.4418561998
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","MY Jun-May",45444.0771945069
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","MY Jun-May",303.59979815477
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","MY Jun-May",53449.8193580968
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Nov",6817.11767508303
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Nov",4907.9081057611
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Nov",20.1479979087954
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Nov",4887.7601078523
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Nov",68664.0511573233
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Nov",37.6712139423777
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Nov",75518.8400463487
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Oct",93385.1409782977
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Oct",17.5536268760511
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Oct",462.830825774373
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Oct",89343.2883049203
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Oct",3854.0949007344
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Oct",3903.81893599722
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Oct",32.1704083867698
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Oct",3579.021847603
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q1 Jun-Aug",8579.50646555753
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q1 Jun-Aug",61.6140229980492
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q1 Jun-Aug",9059.1264358501
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q1 Jun-Aug",8973.9922987995
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q1 Jun-Aug",360768.404295594
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q1 Jun-Aug",520.752416657116
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q1 Jun-Aug",23.5201140525513
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q1 Jun-Aug",369868.663177808
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q2 Sep-Nov",328592.476045417
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q2 Sep-Nov",22.7057333106404
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q2 Sep-Nov",574.112935135188
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q2 Sep-Nov",308707.152201643
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q2 Sep-Nov",12562.2347720499
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q2 Sep-Nov",12670.6767255943
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q2 Sep-Nov",85.7362202337186
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q2 Sep-Nov",19311.2109086393
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q3 Dec-Feb",11671.6984876429
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q3 Dec-Feb",74.058489960353
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q3 Dec-Feb",14149.5518531528
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q3 Dec-Feb",14057.2919060973
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q3 Dec-Feb",247813.862941804
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q3 Dec-Feb",134.296977020684
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q3 Dec-Feb",18.2014570951706
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q3 Dec-Feb",259619.858406468
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q4 Mar-May",275187.904086291
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q4 Mar-May",31.6082356939752
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q4 Mar-May",126.373767876724
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q4 Mar-May",261174.126822158
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q4 Mar-May",9450.9228792531
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q4 Mar-May",9564.72217990972
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q4 Mar-May",82.1910649626492
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Q4 Mar-May",13887.403496257
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Sep",8915.07138595327
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Sep",33.4178139381534
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Sep",3858.94968383594
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Sep",3820.3797634632
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Sep",150699.812739399
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Sep",73.610895418437
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Sep",5.15210643458927
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1989/90","Sep",159688.495020771
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Apr",92320.284416789
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Apr",7.24504276835123
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Apr",75.8438217629567
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Apr",88525.5304017756
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Apr",974.3466922497
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Apr",1027.74556447939
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Apr",46.1538294613345
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Apr",3718.91019325045
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Aug",2785.46011015866
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Aug",45.2733433602389
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Aug",3746.75093954278
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Aug",3683.5890310737
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Aug",92681.9713891155
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Aug",65.2278810588281
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Aug",17.8885651088386
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Aug",95532.659380333
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Dec",60985.1575703031
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Dec",2.90231232432233
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Dec",61.2349953544124
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Dec",56443.9914668805
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Dec",1733.7075757785
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Dec",1778.26679166867
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Dec",41.6569035658438
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Dec",4479.93110806816
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Feb",3808.65119601306
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Feb",56.9015695079811
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Feb",5527.03417352655
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Feb",5435.5336809606
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Feb",91313.4404878878
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Feb",103.330631803999
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Feb",34.5989230579682
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Feb",95225.4223157049
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jan",69271.6576398979
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jan",36.3656002847025
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jan",106.652333424212
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jan",66467.1326944905
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jan",3378.7986433131
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jan",3475.23801706975
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jan",60.0737734719473
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jan",2697.87261198316
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jul",2244.30889275426
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jul",29.2293408954645
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jul",1428.18714988639
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jul",1396.0554966666
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jul",80839.5364406532
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jul",41.4854999483841
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jul",2.90231232432233
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jul",83125.3308333558
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jun",89462.0551551541
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jun",1.45118783780263
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jun",49.5044011460345
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jun",88273.6771402731
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jun",4382.6274148755
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jun",4421.37143152267
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jun",37.2928288093673
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Jun",1138.87361373489
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Mar",6301.05823301725
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Mar",45.4467882482315
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Mar",3411.58349356843
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Mar",3343.4827300077
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Mar",95.1845548433861
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Mar",112239.001374318
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Mar",22.6539753124964
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Mar",118635.244162179
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","May",85381.837520749
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","May",11.1020589262478
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","May",81759.6288184872
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","May",96.9873094297348
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","May",1962.7556026701
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","May",51.8166895431232
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","May",3525.2213928321
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","May",2025.67435113947
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","MY Jun-May",40463.8251250997
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","MY Jun-May",560.205151721789
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","MY Jun-May",42327.0265992812
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","MY Jun-May",41581.5478332093
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","MY Jun-May",1796.90038710289
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","MY Jun-May",1025676.93504602
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","MY Jun-May",185.273614350139
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","MY Jun-May",1067937.66055822
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Nov",80876.9035366359
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Nov",31.4174216298262
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Nov",77264.6274110277
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Nov",104.270266079844
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Nov",6069.1977472098
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Nov",6158.30688222482
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Nov",57.6917133851955
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Nov",3508.00585952836
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Oct",3390.42875086174
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Oct",53.5139266964961
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Oct",4825.27187664873
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Oct",4760.0479721151
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Oct",83882.9016629478
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Oct",533.149951574843
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Oct",11.709977837129
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Oct",87806.4803653844
"Total all wheat","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q1 Jun-Aug",268120.045368843
"Durum semolina and flour","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q1 Jun-Aug",22.2420652709635
"All wheat products","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q1 Jun-Aug",156.217782153247
"All wheat grain","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q1 Jun-Aug",261795.184970042
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q1 Jun-Aug",9462.2719426158
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q1 Jun-Aug",9596.30952095184
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q1 Jun-Aug",111.795513065071
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q1 Jun-Aug",6168.64261664781
"All wheat flour","All Wheat","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q2 Sep-Nov",9763.53777328772
"Durum pasta and couscous","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q2 Sep-Nov",146.360084858257
"Durum total","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q2 Sep-Nov",15485.1746868771
"Durum grain","Durum","Exports, Qty","World","1,000 grain-equivalent bushels","1990/91","Q2 Sep-Nov",15290.6509656138
