Commodity_Desc,Commodity_Desc2,Attribute_Desc,Geography_Desc,Unit_Desc,Marketing_Year,Timeperiod_Desc,Amount
"Rye","Rye","Total supply","United States","Million bushels","2000/01","MY Jun-May",13.205
"Rye","Rye","Food use","United States","Million bushels","2000/01","MY Jun-May",3.3
"Rye","Rye","Seed use","United States","Million bushels","2000/01","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","2000/01","MY Jun-May",3
"Rye","Rye","Feed and residual use","United States","Million bushels","2000/01","MY Jun-May",2.325
"Rye","Rye","Total domestic use","United States","Million bushels","2000/01","MY Jun-May",11.625
"Rye","Rye","Exports","United States","Million bushels","2000/01","MY Jun-May",0.39
"Rye","Rye","Total disappearance","United States","Million bushels","2000/01","MY Jun-May",12.015
"Rye","Rye","Ending stocks","United States","Million bushels","2000/01","MY Jun-May",1.19
"Rye","Rye","Ending stocks","United States","Million bushels","2001/02","MY Jun-May",0.568
"Rye","Rye","Total disappearance","United States","Million bushels","2001/02","MY Jun-May",12.463
"Rye","Rye","Exports","United States","Million bushels","2001/02","MY Jun-May",0.193
"Rye","Rye","Total domestic use","United States","Million bushels","2001/02","MY Jun-May",12.27
"Rye","Rye","Feed and residual use","United States","Million bushels","2001/02","MY Jun-May",2.97
"Rye","Rye","Industrial use","United States","Million bushels","2001/02","MY Jun-May",3
"Rye","Rye","Seed use","United States","Million bushels","2001/02","MY Jun-May",3
"Rye","Rye","Food use","United States","Million bushels","2001/02","MY Jun-May",3.3
"Rye","Rye","Total supply","United States","Million bushels","2001/02","MY Jun-May",13.031
"Rye","Rye","Imports","United States","Million bushels","2001/02","MY Jun-May",4.945
"Rye","Rye","Production","United States","Million bushels","2001/02","MY Jun-May",6.896
"Rye","Rye","Beginning stocks","United States","Million bushels","2001/02","MY Jun-May",1.19
"Rye","Rye","Beginning stocks","United States","Million bushels","2002/03","MY Jun-May",0.568
"Rye","Rye","Production","United States","Million bushels","2002/03","MY Jun-May",6.488
"Rye","Rye","Imports","United States","Million bushels","2002/03","MY Jun-May",6.14
"Rye","Rye","Total supply","United States","Million bushels","2002/03","MY Jun-May",13.196
"Rye","Rye","Food use","United States","Million bushels","2002/03","MY Jun-May",3.3
"Rye","Rye","Seed use","United States","Million bushels","2002/03","MY Jun-May",3
"Rye","Rye","Industrial use","United States","Million bushels","2002/03","MY Jun-May",3
"Rye","Rye","Feed and residual use","United States","Million bushels","2002/03","MY Jun-May",3.329
"Rye","Rye","Total domestic use","United States","Million bushels","2002/03","MY Jun-May",12.629
"Rye","Rye","Exports","United States","Million bushels","2002/03","MY Jun-May",0.122
"Rye","Rye","Total disappearance","United States","Million bushels","2002/03","MY Jun-May",12.751
"Rye","Rye","Ending stocks","United States","Million bushels","2002/03","MY Jun-May",0.445
"Rye","Rye","Ending stocks","United States","Million bushels","2003/04","MY Jun-May",0.594
"Rye","Rye","Total disappearance","United States","Million bushels","2003/04","MY Jun-May",11.771
"Rye","Rye","Exports","United States","Million bushels","2003/04","MY Jun-May",0.056
"Rye","Rye","Total domestic use","United States","Million bushels","2003/04","MY Jun-May",11.715
"Rye","Rye","Feed and residual use","United States","Million bushels","2003/04","MY Jun-May",3.854
"Rye","Rye","Industrial use","United States","Million bushels","2003/04","MY Jun-May",1.891
"Rye","Rye","Seed use","United States","Million bushels","2003/04","MY Jun-May",2.81
"Rye","Rye","Food use","United States","Million bushels","2003/04","MY Jun-May",3.16
"Rye","Rye","Total supply","United States","Million bushels","2003/04","MY Jun-May",12.365
"Rye","Rye","Imports","United States","Million bushels","2003/04","MY Jun-May",3.286
"Rye","Rye","Production","United States","Million bushels","2003/04","MY Jun-May",8.634
"Rye","Rye","Beginning stocks","United States","Million bushels","2003/04","MY Jun-May",0.445
"Rye","Rye","Beginning stocks","United States","Million bushels","2004/05","MY Jun-May",0.594
"Rye","Rye","Production","United States","Million bushels","2004/05","MY Jun-May",8.255
"Rye","Rye","Imports","United States","Million bushels","2004/05","MY Jun-May",5.626
"Rye","Rye","Total supply","United States","Million bushels","2004/05","MY Jun-May",14.475
"Rye","Rye","Food use","United States","Million bushels","2004/05","MY Jun-May",3.19
"Rye","Rye","Seed use","United States","Million bushels","2004/05","MY Jun-May",2.95
"Rye","Rye","Industrial use","United States","Million bushels","2004/05","MY Jun-May",2.097
"Rye","Rye","Feed and residual use","United States","Million bushels","2004/05","MY Jun-May",5.3
"Rye","Rye","Total domestic use","United States","Million bushels","2004/05","MY Jun-May",13.537
"Rye","Rye","Exports","United States","Million bushels","2004/05","MY Jun-May",0.145
"Rye","Rye","Total disappearance","United States","Million bushels","2004/05","MY Jun-May",13.682
"Rye","Rye","Ending stocks","United States","Million bushels","2004/05","MY Jun-May",0.793
"Rye","Rye","Ending stocks","United States","Million bushels","2005/06","MY Jun-May",0.706
"Rye","Rye","Total disappearance","United States","Million bushels","2005/06","MY Jun-May",13.105
"Rye","Rye","Exports","United States","Million bushels","2005/06","MY Jun-May",0.014
